name,gender
Ada Yonath,female
Aime Cotton,male
Akira Suzuki,male
Amiya Dasgupta,male
Andrea Ghez,female
Barbara McClintock,female
Barbara Wold,female
Beatrice Webb,female
Beverley Oke,female
Birgit Vennesland,female
Carol Greider,female
Carolyn Bertozzi,female
Cecilia Payne-Gaposchkin,female
Christiane Nusslein-Volhard,female
Donna Strickland,female
Dorothy Crowfoot Hodgkin,female
Elaine Tuomanen,female
Elinor Ostrom,female
Elizabeth Blackburn,female
Elizabeth Deuchar,female
Elizabeth Hay,female
Ellen Vitetta,female
Emmanuelle Charpentier,female
Esther Duflo,female
Frances Arnold,female
Francoise Barre-Sinoussi,female
Frederick Penny,male
Gertrude Elion,female
Gertrude Henle,female
Gerty Cori,female
Gordon Ada,male
Harlow Shapley,male
Heike Kamerlingh Onnes,male
Hilary Koprowski,male
Ira Remsen,male
Irene Joliot-Curie,female
Janne Rydberg,male
Jennifer Doudna,female
Joan Robinson,female
Jocelyn Thorpe,female
Joyce Bearden,female
Kary Mullis,male
Leonor Caron,male
Leonor Michaelis,male
Leslie Sutton,male
Linda Buck,female
Lise Meitner,female
Lorrin Riggs,male
Marguerite Denariez-Roberge,female
Maria Goepper-Mayer,female
Marie Sklodowska Curie,female
Marjory Stephenson,female
Martha Vaughan,female
Mary Lou Pardue,female
May-Britt Moser,female
Merle Battiste,male
Meryl Rose,female
Murdoch Mitchison,male
Natalia Sozina,female
Pamela Cowin,female
Patricia Spear,female
Rita Levi-Montalcini,female
Rosalind Franklin,female
Rosalyn Yalow,female
Ruby Payne-Scott,female
Sara Jane Rhoads,female
Sajiro Makino,male
Shirley Quimby,female
Sol Spiegelman,male
Susan Ervin-Tripp,female
Ta-You Wu,male
Vilray Blair,male
Wallace Sabine,male
Youyou Tu,female
